TV_MONDAY,TV_TUESDAY,TV_WEDNESDAY,TV_THURSDAY,TV_FRIDAY,TV_SATURDAY,TV_SUNDAY,TOTAL_CONV
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
8.0,4.0,1.0,11.0,2.7,2.8,5.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,1.4,0.68,1.7,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.24,2
0.0,0.0,0.0,0.0,0.0,0.0,0.34,2
2.08,0.71,3.81,2.57,1.25,7.32,0.19,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.34,1
0.0,2.75,1.36,0.48,0.0,0.61,0.0,1
0.34,0.0,0.17,4.0,0.34,3.0,1.44,1
0.0,0.0,0.0,0.49,0.0,1.4,0.0,1
3.88,4.66,2.18,2.78,4.1,11.93,8.01,1
1.96,0.0,0.49,2.1,2.1,1.4,0.0,1
0.8,0.29,3.57,0.0,0.0,1.29,1.64,1
0.0,0.0,0.0,0.0,0.0,1.99,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
0.38,0.06,0.0,0.0,0.03,0.0,0.67,1
0.0,0.0,0.0,0.0,0.0,0.0,0.12,2
0.0,0.0,0.98,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
1.4,0.0,0.0,0.0,0.0,0.0,0.0,2
0.85,1.36,0.65,0.48,0.73,0.0,0.0,1
2.7,1.0,0.0,0.0,0.0,0.0,0.0,2
1.0,0.0,0.0,0.0,3.5,0.0,6.0,1
2.86,5.85,1.18,1.74,1.57,7.8,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.17,1
0.49,0.7,0.0,0.7,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.17,1
0.0,0.0,0.0,0.0,0.82,0.0,0.0,1
0.97,1.25,0.74,1.29,1.74,0.06,0.98,1
0.0,0.0,0.0,0.98,0.34,0.0,0.0,1
0.0,0.0,0.0,0.0,0.16,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1.47,0.0,1
0.24,0.0,0.0,0.0,0.0,0.0,0.0,1
2.48,0.0,1.34,0.0,0.96,1.05,0.0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0.04,0.0,0.0,0.0,0.98,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,1.4,0.0,1
0.0,0.0,0.0,0.0,0.58,1.53,0.0,1
0.0,0.0,0.0,0.49,0.49,0.34,0.0,1
0.0,0.0,0.34,0.0,0.68,0.0,0.49,1
0.0,0.7,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
