TV_PRIMEACCESS,TV_LATEFRINGE,TV_PRIME,TV_DAYTIME,TV_EARLYMORNING,TV_EARLYFRINGE,TV_OVERNIGHT,TOTAL_CONV
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,2.0,0
0.0,0.0,9.0,0.0,0.0,2.0,0.0,0
0.0,1.0,0.0,1.0,1.0,2.0,0.0,0
0.0,4.0,0.0,4.0,1.0,4.0,1.0,0
0.0,0.0,0.0,4.0,1.0,0.0,0.0,0
0.0,0.0,1.0,2.0,2.0,0.0,11.0,0
0.0,12.0,3.0,0.0,0.0,0.0,1.0,0
0.0,2.0,2.0,5.0,6.0,0.0,0.0,0
0.0,0.0,0.0,4.0,0.0,0.0,0.0,0
0.0,1.0,3.0,6.0,3.0,4.0,0.0,0
0.0,3.0,3.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,4.0,0.0,4.0,0.0,0
0.0,6.0,13.0,23.0,4.0,13.0,17.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,1.0,1.0,3.0,0.0,0.0,3.0,0
0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
0.0,2.0,0.0,3.0,0.0,0.0,0.0,0
0.0,0.0,4.0,0.0,0.0,1.0,0.0,0
0.0,0.0,2.0,3.0,1.0,4.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,13.0,12.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,1.0,2.0,0.0,0
0.0,0.0,0.0,4.0,0.0,4.0,0.0,0
0.0,0.08,0.06,0.0,0.48,0.0,0.0,1
0.0,0.0,1.0,2.0,2.0,0.0,0.0,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0
0.0,3.0,5.0,3.0,0.0,0.0,0.0,0
2.0,6.0,5.0,1.0,0.0,1.0,9.0,0
0.0,0.0,0.0,1.0,0.0,2.0,0.0,0
0.0,0.0,3.0,5.0,0.0,2.0,0.0,0
0.0,0.0,0.0,0.0,11.0,0.0,20.0,0
0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,4.0,6.0,7.0,0.0,17.0,0.0,0
0.0,11.0,6.0,0.0,0.0,5.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0
0.0,0.98,0.0,0.0,0.0,0.0,3.62,1
0.0,2.0,1.0,1.0,18.0,5.0,7.0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
3.0,9.0,10.0,6.0,3.0,3.0,11.0,0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
2.0,1.0,1.0,2.0,0.0,2.0,1.0,0
1.0,0.0,0.0,22.0,5.0,3.0,0.0,0
2.22,0.0,2.92,0.0,0.0,7.93,0.0,1
1.0,17.0,3.0,1.0,9.0,3.0,2.0,0
0.0,0.0,0.0,0.34,1.02,0.98,0.0,1
0.0,2.0,2.0,1.0,0.0,0.0,0.0,0
1.0,0.0,0.0,7.0,2.0,2.0,0.0,0
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,4.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0
0.0,0.0,1.0,0.0,0.0,4.0,0.0,0
2.0,5.0,2.0,1.0,3.0,1.0,1.0,0
0.0,3.0,0.0,2.0,5.0,0.0,2.0,0
0.0,1.0,0.0,0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,6.0,1.0,1.0,1.0,0
0.0,0.0,2.0,2.0,0.0,0.0,0.0,0
1.0,0.0,0.0,5.0,1.0,2.0,0.0,0
4.0,2.0,5.0,1.0,0.0,9.0,0.0,0
0.0,1.0,3.0,1.0,2.0,0.0,4.0,0
1.0,2.0,2.0,3.0,1.0,0.0,0.0,0
9.0,0.0,28.0,7.0,0.0,25.0,0.0,0
3.0,2.0,18.0,2.0,0.0,17.0,0.0,0
0.0,0.0,2.0,1.0,0.0,2.0,0.0,0
2.0,0.0,0.0,7.0,2.0,3.0,0.0,0
0.0,0.0,0.0,7.0,0.0,0.0,0.0,0
0.0,0.0,0.0,14.0,4.0,6.0,0.0,0
0.73,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.0,1.0,1.0,1.0,2.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,5.0,0.0,1.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
4.0,0.0,0.0,0.0,0.0,5.0,0.0,0
0.0,0.06,0.06,0.0,0.0,0.0,0.18,1
0.0,0.0,1.0,2.0,0.0,5.0,2.0,0
10.0,10.0,10.0,5.0,0.0,22.0,3.0,0
0.0,0.0,1.0,1.0,0.0,2.0,0.0,0
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
1.0,4.0,7.0,2.0,2.0,7.0,5.0,0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
0.0,2.0,0.0,0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,4.0,4.0,0.0,6.0,0
1.0,5.0,1.0,8.0,0.0,19.0,1.0,0
1.0,0.0,1.0,2.0,6.0,2.0,0.0,0
0.0,0.0,10.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,1.0,0.0,3.0,0.0,0
0.0,9.0,10.0,0.0,8.0,0.0,29.0,0
0.0,4.0,0.0,0.0,0.0,0.0,0.0,0
0.0,10.0,3.0,11.0,3.0,1.0,6.0,0
1.0,1.0,0.0,1.0,3.0,1.0,0.0,0
0.0,2.0,0.0,10.0,0.0,4.0,11.0,0
0.0,0.0,1.0,0.0,0.0,4.0,0.0,0
2.0,1.0,0.0,18.0,1.0,11.0,0.0,0
4.0,5.0,35.0,11.0,0.0,37.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,1.0,0.0,0.0,2.0,0.0,0.0,0
4.0,0.0,4.0,0.0,0.0,2.0,0.0,0
1.0,5.0,2.0,7.0,3.0,0.0,16.0,0
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0
2.0,0.0,7.0,2.0,6.0,2.0,0.0,0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,0
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
0.0,3.0,1.0,1.0,0.0,10.0,0.0,0
0.0,6.0,0.0,0.0,0.0,0.0,7.0,0
0.0,0.0,0.0,1.4,0.0,0.49,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,4.0,2.0,1.0,1.0,0.0,0
0.0,1.0,4.0,12.0,4.0,5.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,637
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,0
0.0,0.0,0.0,1.0,0.0,3.0,0.0,0
3.0,7.0,9.0,6.0,0.0,4.0,5.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.49,0.7,0.0,0.49,0.0,1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.0,5.0,1.0,0.0,2.0,0.0,0
1.0,6.0,4.0,7.0,0.0,2.0,0.0,0
0.0,12.0,11.0,3.0,0.0,11.0,1.0,0
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.74,0.0,0.0,0.0,0.0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0
0.0,0.0,0.0,3.0,0.0,7.0,1.0,0
0.0,2.0,5.0,0.0,0.0,0.0,0.0,0
0.0,4.0,7.0,4.0,0.0,2.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.24,1.41,0.0,0.0,0.0,1
0.0,1.0,10.0,10.0,0.0,4.0,0.0,0
0.0,0.0,0.0,2.0,0.0,1.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,1.0,0.24,0.12,0.0,0.0,1
0.0,0.0,0.0,0.96,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
0.0,0.0,4.0,1.0,0.0,0.0,0.0,0
1.0,11.0,0.0,0.0,1.0,3.0,2.0,0
0.0,0.0,2.0,4.0,4.0,0.0,0.0,0
0.0,0.0,2.0,1.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.0,0.0,0.49,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,2.0,1.0,2.0,0
0.0,4.0,4.0,1.0,0.0,0.0,2.0,0
0.0,0.0,0.0,6.0,2.0,1.0,1.0,0
0.0,0.0,1.0,2.0,0.0,1.0,0.0,0
0.0,3.0,1.0,0.0,0.0,0.0,2.0,0
